id,owner,timestamp,type,version,bench reference,crate weight timestamp,crop name,weight in kilograms
70637,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00121,2024-01-05 19:52:41+00:00,Crisp leaf green,0.0
70638,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00389,2024-01-05 19:52:41+00:00,Crisp leaf green,0.0
70639,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00647,2024-01-05 19:52:41+00:00,Crisp leaf green,0.0
70640,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00427,2024-01-05 20:17:24+00:00,Crisp leaf green,0.0
70641,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-05 20:19:55+00:00,Crop not found,0.0
70642,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00592,2024-01-06 14:07:05+00:00,Crisp leaf green,-0.004058122634887695
70643,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-06 14:10:35+00:00,Crop not found,0.055892229080200195
70644,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-06 14:22:48+00:00,Crop not found,0.00720524787902832
70645,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-06 14:24:04+00:00,Crop not found,0.02446889877319336
70646,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01049,2024-01-06 14:33:42+00:00,Incise leaf green,2.1610360145568848
70647,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01206,2024-01-06 14:48:22+00:00,Incise leaf green,3.0593825481591446
70648,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00272,2024-01-06 14:48:22+00:00,Incise leaf green,2.1026896335425156
70649,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00067,2024-01-06 14:58:54+00:00,Crisp leaf green,2.18135886546689
70650,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01032,2024-01-06 14:58:54+00:00,Crisp leaf green,2.0143870962121118
70651,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00498,2024-01-06 14:58:54+00:00,Crisp leaf green,2.1553339791168957
